size,gender,style,formality_occasion,outfit
small,male,casual,low,Medium_Sweater_and_Jeans
small,male,casual,medium,Medium_Shirt_and_Linen_Pants
small,female,casual,high,Medium_Blouse_and_Skirt
small,female,sport,low,Medium_Hoodie_and_Track_Pants
small,male,sport,high,Medium_Sportwear_Set
small,male,chic,medium,Medium_Jacket_and_Sweater_and_Pants
small,female,chic,medium,Medium_Jumpsuit
small,male,chic,high,Medium_Suit_and_Tie
small,female,chic,high,Medium_Dress
medium,female,casual,low,Medium_Sweater_and_Jeans
medium,male,casual,medium,Medium_Shirt_and_Linen_Pants
medium,female,casual,high,Medium_Blouse_and_Skirt
medium,male,sport,medium,Medium_Hoodie_and_Track_Pants
medium,female,sport,high,Medium_Sportwear_Set
medium,male,chic,medium,Medium_Jacket_and_Sweater_and_Pants
medium,female,chic,medium,Medium_Jumpsuit
medium,male,chic,high,Medium_Suit_and_Tie
medium,female,chic,high,Medium_Dress
large,male,casual,low,Large_Sweater_and_Jeans
large,male,casual,medium,Large_Shirt_and_Linen_Pants
large,female,casual,high,Large_Blouse_and_Skirt
large,male,sport,medium,Large_Hoodie_and_Track_Pants
large,female,sport,high,Large_Sportwear_Set
large,male,chic,medium,Large_Jacket_and_Sweater_and_Pants
large,female,chic,medium,Large_Jumpsuit
large,male,chic,high,Large_Suit_and_Tie
large,female,chic,high,Large_Dress
X_large,female,casual,low,Large_Sweater_and_Jeans
X_large,male,casual,medium,Large_Shirt_and_Linen_Pants
X_large,female,casual,high,Large_Blouse_and_Skirt
X_large,male,sport,medium,Large_Hoodie_and_Track_Pants
X_large,female,sport,high,Large_Sportwear_Set
X_large,male,chic,medium,Large_Jacket_and_Sweater_and_Pants
X_large,female,chic,medium,Large_Jumpsuit
X_large,male,chic,high,Large_Suit_and_Tie
X_large,female,chic,high,Large_Dress
small,male,casual,low,Medium_Sweater_and_Jeans
small,male,casual,medium,Medium_Shirt_and_Linen_Pants
small,female,casual,high,Medium_Blouse_and_Skirt
small,female,sport,low,Medium_Hoodie_and_Track_Pants
small,male,sport,high,Medium_Sportwear_Set
small,male,chic,medium,Medium_Jacket_and_Sweater_and_Pants
small,female,chic,medium,Medium_Jumpsuit
small,male,chic,high,Medium_Suit_and_Tie
small,female,chic,high,Medium_Dress
medium,female,casual,low,Medium_Sweater_and_Jeans
medium,male,casual,medium,Medium_Shirt_and_Linen_Pants
medium,female,casual,high,Medium_Blouse_and_Skirt
medium,male,sport,medium,Medium_Hoodie_and_Track_Pants
medium,female,sport,high,Medium_Sportwear_Set
medium,male,chic,medium,Medium_Jacket_and_Sweater_and_Pants
medium,female,chic,medium,Medium_Jumpsuit
medium,male,chic,high,Medium_Suit_and_Tie
medium,female,chic,high,Medium_Dress
large,male,casual,low,Large_Sweater_and_Jeans
large,male,casual,medium,Large_Shirt_and_Linen_Pants
large,female,casual,high,Large_Blouse_and_Skirt
large,male,sport,medium,Large_Hoodie_and_Track_Pants
large,female,sport,high,Large_Sportwear_Set
large,male,chic,medium,Large_Jacket_and_Sweater_and_Pants
large,female,chic,medium,Large_Jumpsuit
large,male,chic,high,Large_Suit_and_Tie
large,female,chic,high,Large_Dress
X_large,female,casual,low,Large_Sweater_and_Jeans
X_large,male,casual,medium,Large_Shirt_and_Linen_Pants
X_large,female,casual,high,Large_Blouse_and_Skirt
X_large,male,sport,medium,Large_Hoodie_and_Track_Pants
X_large,female,sport,high,Large_Sportwear_Set
X_large,male,chic,medium,Large_Jacket_and_Sweater_and_Pants
X_large,female,chic,medium,Large_Jumpsuit
X_large,male,chic,high,Large_Suit_and_Tie
X_large,female,chic,high,Large_Dress
